Date,Close/Last,Volume,Open,High,Low
06/09/2023,354.50,53196930,354.63,357.66,353.03
06/08/2023,353.15,47153920,349.12,353.62,348.89
06/07/2023,348.82,69225940,355.13,357.12,348.18
06/06/2023,354.84,41390400,354.28,355.82,352.93
06/05/2023,354.90,47266230,354.43,357.495,353.85
06/02/2023,354.65,53372110,353.80,355.83,352.01
06/01/2023,352.01,50488600,347.73,353.36,346.66
05/31/2023,347.99,65105380,348.37,350.60,346.51
05/30/2023,349.98,72652160,352.71,353.93,348.53
05/26/2023,348.40,63006950,340.76,349.245,340.66
05/25/2023,339.72,66862770,339.14,341.01,336.665
05/24/2023,331.65,62891170,331.37,332.905,329.56
05/23/2023,333.36,48216660,335.89,337.06,333.00
05/22/2023,337.64,43015950,336.25,338.67,336.24
05/19/2023,336.51,61554930,337.49,338.205,335.43
05/18/2023,337.27,64213470,331.52,337.49,331.50
05/17/2023,331.12,47486120,328.24,331.71,327.04
05/16/2023,327.16,40019150,326.06,328.9025,326.02
05/15/2023,326.79,33375560,325.51,327.03,323.96
05/12/2023,325.03,48432840,326.74,327.17,322.94
05/11/2023,326.20,44278550,325.70,326.75,324.12
05/10/2023,325.14,60446620,324.12,326.01,321.60
05/09/2023,321.64,31768800,322.00,322.88,321.32
05/08/2023,323.69,36465800,322.42,324.04,321.315
05/05/2023,322.89,51806100,318.47,323.76,316.2116
05/04/2023,316.17,50224520,317.06,318.23,315.115
05/03/2023,317.29,59882070,319.75,322.47,317.18
05/02/2023,319.38,56519410,322.12,322.45,317.61
05/01/2023,322.19,41013390,322.09,323.63,321.09
04/28/2023,322.56,59712640,320.11,322.65,318.96
04/27/2023,320.35,65430390,315.70,320.86,315.05
04/26/2023,311.87,55400500,313.44,314.935,311.34
04/25/2023,309.99,57121640,314.29,314.97,309.89
04/24/2023,315.95,44043060,316.38,317.7391,313.74
04/21/2023,316.61,59002290,315.91,317.40,314.10
04/20/2023,316.28,62462140,315.69,319.27,314.97
04/19/2023,318.71,38960130,316.41,319.79,316.28
04/18/2023,318.86,46746940,320.99,321.42,317.64
04/17/2023,318.84,43007020,318.15,319.1999,316.04
04/14/2023,318.57,56278280,317.59,320.36,315.61
04/13/2023,319.17,54613790,314.83,319.65,313.63
04/12/2023,313.04,62813310,317.82,318.42,312.565
04/11/2023,315.83,40113590,317.83,317.89,315.31
04/10/2023,317.87,45134740,315.07,317.92,313.25
04/06/2023,318.05,46916500,314.24,318.55,312.82
04/05/2023,315.92,62795710,318.10,319.06,314.07
04/04/2023,319.07,45875380,320.60,321.63,317.8251
04/03/2023,320.15,47126840,318.77,320.42,317.4201
03/31/2023,320.93,62138100,315.91,321.17,315.60
03/30/2023,315.68,58354810,315.24,316.32,312.8088
03/29/2023,312.72,53274270,310.88,313.35,310.05
03/28/2023,307.12,48585920,308.17,308.20,304.774
03/27/2023,308.76,50287410,311.60,312.70,307.89
03/24/2023,310.89,57245800,309.32,310.99,306.95
03/23/2023,309.75,74575980,309.92,314.15,307.01
03/22/2023,306.12,75791910,310.27,315.25,305.95
03/21/2023,310.34,49757050,307.94,310.80,306.395
03/20/2023,305.97,56359490,304.26,306.30,302.01
03/17/2023,305.36,89923730,306.72,309.15,303.37
03/16/2023,306.81,98556820,298.00,307.18,297.19
03/15/2023,298.93,83631540,294.71,299.27,293.24
03/14/2023,297.37,73602550,294.31,297.93,293.45
03/13/2023,290.69,97123600,286.73,294.47,285.19
03/10/2023,288.55,98593560,292.83,294.35,287.38
03/09/2023,292.66,71456690,298.33,300.98,291.8299
